"","Year","Month","Site","PM","SM","unknown","NA","total","proportion","SiteType"
"1",2006,"August","DC",4,0,0,0,4,1,"Less Contaminated"
"2",2006,"August","FP",2,1,1,0,4,0.5,"Less Contaminated"
"3",2006,"August","GC",2,0,0,0,2,1,"Less Contaminated"
"4",2006,"August","LS",9,1,2,0,12,0.75,"Less Contaminated"
"5",2006,"August","P27",4,1,1,0,6,0.666666666666667,"More Contaminated"
"6",2006,"August","SI",1,1,2,0,4,0.25,"More Contaminated"
"7",2006,"July","DC",7,1,2,0,10,0.7,"Less Contaminated"
"8",2006,"July","FP",1,0,0,0,1,1,"Less Contaminated"
"9",2006,"July","GC",3,1,2,0,6,0.5,"Less Contaminated"
"10",2006,"July","LS",4,5,3,0,12,0.333333333333333,"Less Contaminated"
"11",2006,"July","P27",10,8,2,0,20,0.5,"More Contaminated"
"12",2006,"July","SI",3,9,2,0,14,0.214285714285714,"More Contaminated"
"13",2006,"June","DC",9,2,1,0,12,0.75,"Less Contaminated"
"14",2006,"June","FP",1,1,0,0,2,0.5,"Less Contaminated"
"15",2006,"June","GC",3,4,0,0,7,0.428571428571429,"Less Contaminated"
"16",2006,"June","LS",14,10,0,0,24,0.583333333333333,"Less Contaminated"
"17",2006,"June","SI",1,9,2,0,12,0.0833333333333333,"More Contaminated"
"18",2006,"May","DC",7,1,0,3,8,0.875,"Less Contaminated"
"19",2006,"May","FP",13,3,0,0,16,0.8125,"Less Contaminated"
"20",2006,"May","GC",2,2,0,3,4,0.5,"Less Contaminated"
"21",2006,"May","LS",7,6,0,14,13,0.538461538461538,"Less Contaminated"
"22",2006,"October","DC",0,1,0,0,1,0,"Less Contaminated"
"23",2006,"October","GC",0,2,0,0,2,0,"Less Contaminated"
"24",2006,"October","LS",0,8,0,0,8,0,"Less Contaminated"
"25",2006,"September","LS",0,1,0,0,1,0,"Less Contaminated"
"26",2006,"September","P27",0,0,1,0,1,0,"More Contaminated"
"27",2007,"August","DC",1,0,0,0,1,1,"Less Contaminated"
"28",2007,"August","FP",0,0,1,0,1,0,"Less Contaminated"
"29",2007,"August","LS",1,1,0,0,2,0.5,"Less Contaminated"
"30",2007,"August","P27",3,1,1,0,5,0.6,"More Contaminated"
"31",2007,"August","SI",0,0,3,0,3,0,"More Contaminated"
"32",2007,"July","DC",0,1,0,0,1,0,"Less Contaminated"
"33",2007,"July","FP",1,1,0,0,2,0.5,"Less Contaminated"
"34",2007,"July","GC",2,0,1,0,3,0.666666666666667,"Less Contaminated"
"35",2007,"July","LS",3,3,0,0,6,0.5,"Less Contaminated"
