,Year,Julian_collection,Sex,Site,TL_cm,SL_cm,HW_cm,Mass_g,Papilla_cm,Acces_gonad_g,Gonad_g,Liver_g,Trap,Month,Reproductive_Status,Repro_Strategy,GSI,HSI,Fulton_Condition,SiteType,cYear
862,2007,143,Female,SI,5.28,4.44,0.072,1.572,0.22,NA,0,0,NA,May,R,NA,0,0,1.79598883,High contamination,1
6360,2006,235,Male,FP,6.1,4.98,0.08,2.756,NA,0,0,0.001,NA,August,NA,NA,0,0.000362845,2.23147068,Low contamination,0
3478,2008,185,Male,P27,5.73,4.68,0.074,2.199,0.23,0,0,0.002,NA,July,NR,NA,0,0.000909504,2.145298209,High contamination,2
5182,2007,213,Male,P27,6.33,5.13,0.077,2.757,0.26,0,0,0.003,NA,August,NR,NA,0,0.001088139,2.042136044,High contamination,1
6845,2007,241,Female,FP,6.09,4.88,0.085,2.674,0.18,NA,0,0.003,NA,August,NR,NA,0,0.001121915,2.300922214,Low contamination,1
5290,2008,213,Male,SI,5.8,4.73,0.077,2.071,0.17,0,0,0.004,NA,August,NR,NA,0,0.001931434,1.957026366,High contamination,2
7109,2006,250,Male,FP,7.07,5.72,0.089,4.098,NA,0,0,0.008,NA,September,NA,NA,0,0.001952172,2.189696215,Low contamination,0
5281,2008,213,Female,P27,5.35,4.28,0.062,1.764,0.14,NA,0,0.005,NA,August,NR,NA,0,0.002834467,2.249921023,High contamination,2
4543,2006,201,Male,P27,6.06,4.98,0.077,2.735,0.16,0,0,0.008,NA,July,NR,NA,0,0.002925046,2.214467457,High contamination,0
6343,2006,235,Male,LS,5.61,3.72,0.057,1.221,NA,0,0,0.004,NA,August,NA,NA,0,0.003276003,2.371847948,Low contamination,0
8787,2006,278,Male,GC,7.15,5.82,0.097,4.263,0.23,0,0,0.014,NA,October,NR,NA,0,0.003284072,2.162451515,Low contamination,0
5275,2008,213,Male,P27,7.13,5.36,0.082,3.329,0.24,0,0,0.011,NA,August,NR,NA,0,0.003304296,2.161819481,High contamination,2
3964,2011,194,Male,FP,6.03,5.41,0.12,3.015,0.19,0,0,0.01,NA,July,NR,NA,0,0.00331675,1.90412529,Low contamination,5
8055,2004,266,Male,LS,NA,5,NA,2.752,NA,NA,0,0.013,NA,September,NA,NA,0,0.004723837,2.2016,Low contamination,-2
2041,2007,163,Male,FP,5.82,4.44,0.072,1.479,0.26,0,0,0.008,NA,June,NR,NA,0,0.00540906,1.689737583,Low contamination,1
2051,2007,163,Male,GC,5.43,4.39,0.077,1.815,0.15,NA,0,0.011,NA,June,NR,NA,0,0.006060606,2.145275479,Low contamination,1
15844,2021,167,Male,SI,5.13,4.14,0.68,1.674,0.26,0,0,0.012,B,June,NR,NA,0,0.007168459,2.35914389,High contamination,15
309,2007,115,Male,SI,7.06,5.73,0.1,4.423,0.22,0,0,0.033,NA,NA,NR,NA,0,0.007460999,2.351002405,High contamination,1
7674,2006,263,Male,LS,6.21,5.1,0.083,3.125,NA,0,0,0.024,NA,September,NA,NA,0,0.00768,2.355805836,Low contamination,0
9466,2005,292,Male,LS,NA,6.06,NA,4.5,NA,NA,0,0.036,NA,October,NA,NA,0,0.008,2.022062808,Low contamination,-1
1317,2008,150,Male,P27,5.81,4.23,0.078,2.318,0.2,0,0,0.02,NA,May,NR,NA,0,0.008628128,3.062614466,High contamination,2
5242,2008,213,Male,DC,6.81,5.37,0.098,3.469,0.2,0,0,0.03,NA,August,NR,NA,0,0.008648025,2.240172403,Low contamination,2
1963,2004,162,Male,DC,NA,5.66,NA,4.319,NA,NA,0,0.038,NA,June,NA,NA,0,0.008798333,2.381956963,Low contamination,-2
2439,2008,170,Male,LS,7.86,5.7,0.096,4.39,0.28,0,0,0.04,NA,June,NR,NA,0,0.009111617,2.370499965,Low contamination,2
2847,2008,178,Male,DC,7.75,6.45,0.102,7.748,0.05,0,0,0.071,NA,June,NR,NA,0,0.009163655,2.887423376,Low contamination,2
8501,2006,277,Male,DC,5.58,4.53,0.083,2.358,NA,0,0,0.022,NA,October,NA,NA,0,0.009329941,2.536583685,Low contamination,0
3992,2011,194,Male,LS,6.22,5.06,0.074,2.33,0.26,0,0,0.023,NA,July,NR,NA,0,0.009871245,1.798474856,Low contamination,5
8039,2004,266,Male,FP,NA,4.09,NA,1.493,NA,NA,0,0.015,NA,September,NA,NA,0,0.010046885,2.182176546,Low contamination,-2
1970,2004,162,Male,GC,NA,6.47,NA,6.152,NA,NA,0,0.066,NA,June,NA,NA,0,0.010728218,2.271451587,Low contamination,-2
7539,2009,258,Male,FP,5.5,4.41,0.077,1.724,0.17,0,0,0.019,NA,September,NR,NA,0,0.011020882,2.010117725,Low contamination,3
8052,2004,266,Male,LS,NA,4.89,NA,2.882,NA,NA,0,0.032,NA,September,NA,NA,0,0.0111034,2.464718921,Low contamination,-2
7676,2006,263,Male,LS,5.28,4.33,0.079,2.013,NA,0,0,0.023,NA,September,NA,NA,0,0.011425733,2.479591197,Low contamination,0
3857,2004,194,Male,FP,NA,5.44,NA,3.396,NA,NA,0,0.039,NA,July,NA,NA,0,0.011484099,2.109458484,Low contamination,-2
9164,2004,281,Male,DC,NA,7.26,NA,9.107,NA,NA,0,0.108,NA,October,NA,NA,0,0.01185901,2.379937075,Low contamination,-2
4732,2006,207,Male,LS,8.2,6.79,0.116,7.261,NA,0,0,0.087,NA,July,NA,NA,0,0.011981821,2.31946121,Low contamination,0
219,2008,113,Male,LS,6.67,5.39,0.095,3.252,0.15,0,0,0.039,NA,NA,NR,NA,0,0.01199262,2.076750106,Low contamination,2
3947,2011,194,Male,DC,4.94,4.19,0.06,1.453,0.24,0,0,0.018,NA,July,NR,NA,0,0.012388162,1.975256708,Low contamination,5
3746,2006,193,Male,LS,8.22,6.76,0.106,7.103,NA,0,0,0.088,NA,July,NA,NA,0,0.012389131,2.29933223,Low contamination,0
3880,2006,194,Male,LS,8.22,6.76,0.106,7.103,0.26,0,0,0.088,NA,July,NR,NA,0,0.012389131,2.29933223,Low contamination,0
1981,2004,162,Male,LS,NA,4.83,NA,2.972,NA,NA,0,0.037,NA,June,NA,NA,0,0.012449529,2.637590761,Low contamination,-2
8343,2005,271,Male,FP,NA,5.64,NA,4.248,NA,NA,0,0.054,NA,September,NA,NA,0,0.012711864,2.367811885,Low contamination,-1
4739,2006,207,Male,LS,7.85,6.45,0.103,5.953,NA,0,0,0.078,NA,July,NA,NA,0,0.013102637,2.218486236,Low contamination,0
14130,2019,170,Male,FP,10.66,8.53,1.76,16.87,0.33,NA,0,0.24,A,June,NR,NA,0,0.014226437,2.718116013,Low contamination,13
2042,2007,163,Male,GC,5.25,4.26,0.067,1.544,NA,0,0,0.022,NA,June,NR,NA,0,0.014248705,1.997185934,Low contamination,1
1334,2008,150,Male,P27,8.45,6.99,0.108,7.736,0.31,0,0,0.113,NA,May,NR,NA,0,0.014607032,2.265087241,High contamination,2
7833,2012,264,Male,P27,7.41,5.93,0.121,5.603,0.25,NA,0,0.082,NA,September,NR,NA,0,0.014635017,2.686931176,High contamination,6
7113,2006,250,Male,FP,6.3,5.19,0.093,3.204,NA,0,0,0.047,NA,September,NA,NA,0,0.014669164,2.291872396,Low contamination,0
2843,2008,178,Male,DC,8.48,7.08,0.104,9.449,0.02,0,0,0.142,NA,June,NR,NA,0,0.015028045,2.662478294,Low contamination,2
8813,2006,278,Male,LS,7.51,6.2,0.11,5.611,0.22,0,0,0.086,NA,October,NR,NA,0,0.015327036,2.354318418,Low contamination,0
5570,2008,220,Male,LS,10.65,8.69,0.162,19.041,0.38,0,0,0.298,NA,August,NR,NA,0,0.015650439,2.901552438,Low contamination,2
3769,2012,193,Male,FP,7.06,5.96,0.106,4.45,0.22,NA,0,0.07,NA,July,NR,NA,0,0.015730337,2.101944437,Low contamination,6
1517,2005,152,Male,DC,NA,8.34,NA,14.14,NA,0.003,0,0.226,NA,June,NA,NA,0,0.015983027,2.437537229,Low contamination,-1
14576,2019,199,Male,P27,6.35,4.87,0.72,2.917,0.28,0,0,0.047,B,July,NR,NA,0,0.016112444,2.525512634,High contamination,13
2773,2004,176,Male,DC,NA,5.96,NA,5.351,NA,NA,0,0.087,NA,June,NA,NA,0,0.016258643,2.527529143,Low contamination,-2
7637,2005,263,Male,FP,NA,6.66,NA,7.666,NA,NA,0,0.126,NA,September,NA,NA,0,0.016436212,2.595052375,Low contamination,-1
8218,2007,267,Male,DC,6.98,5.87,0.117,4.405,0.17,0,0,0.073,NA,September,NR,NA,0,0.016572077,2.177868277,Low contamination,1
2782,2004,176,Male,DC,NA,4.7,NA,2.823,NA,NA,0,0.047,NA,June,NA,NA,0,0.016648955,2.719050692,Low contamination,-2
8763,2005,278,Male,FP,NA,4.61,NA,2.072,NA,NA,0,0.035,NA,October,NA,NA,0,0.016891892,2.114886061,Low contamination,-1
7564,2009,258,Male,LS,6.88,5.62,0.061,3.84,0.07,0,0,0.065,NA,September,NR,NA,0,0.016927083,2.163327533,Low contamination,3
848,2007,143,Male,DC,6.45,5.46,0.091,3.239,0.2,0,0,0.055,NA,May,NR,NA,0,0.01698055,1.9899081,Low contamination,1
1957,2004,162,Male,DC,NA,7.2,NA,8.361,NA,NA,0,0.143,NA,June,NA,NA,0,0.017103217,2.240065586,Low contamination,-2
2790,2004,176,Male,DC,NA,5.15,NA,3.388,NA,NA,0,0.058,NA,June,NA,NA,0,0.017119244,2.480399954,Low contamination,-2
7531,2005,257,Male,FP,NA,5.13,NA,2.743,NA,NA,0,0.047,NA,September,NA,NA,0,0.017134524,2.031766111,Low contamination,-1
466,2005,131,Male,DC,NA,7.5,NA,12.19,NA,0,0,0.21,NA,May,NA,NA,0,0.017227235,2.889481481,Low contamination,-1
8038,2004,266,Male,FP,NA,4.11,NA,1.546,NA,NA,0,0.027,NA,September,NA,NA,0,0.017464424,2.226814415,Low contamination,-2
3521,2008,190,Male,P27,7.2,6.15,0.12,3.42,0.25,0,0,0.06,NA,July,NR,NA,0,0.01754386,1.470282401,High contamination,2
244,2008,113,Male,P27,7.5,6.03,0.115,5.198,0.29,0,0,0.094,NA,NA,NR,NA,0,0.018083878,2.370742246,High contamination,2
1299,2008,150,Male,DC,9.75,8.02,0.139,13.464,0.29,0,0,0.244,NA,May,NR,NA,0,0.0181224,2.610063048,Low contamination,2
2939,2006,179,Male,LS,NA,5.17,0.079,3.473,NA,0,0,0.063,NA,June,NA,NA,0,0.018139937,2.513235317,Low contamination,0
6440,2012,235,Male,P27,4.5,3.69,0.066,1.037,0.14,NA,0,0.019,NA,August,NR,NA,0,0.018322083,2.063952309,High contamination,6
9165,2004,281,Male,DC,NA,7.29,NA,9.328,NA,NA,0,0.171,NA,October,NA,NA,0,0.018331904,2.407719846,Low contamination,-2
4425,2008,199,Male,P27,6.71,5.46,0.088,4.133,0.22,0,0,0.076,NA,July,NR,NA,0,0.01838858,2.539144853,High contamination,2
5283,2008,213,Male,P27,8.08,6.77,0.116,7.123,0.31,0,0,0.131,NA,August,NR,NA,0,0.018391127,2.295603817,High contamination,2
1320,2008,150,Male,FP,5.1,4.11,0.07,1.44,0.24,0,0,0.027,NA,May,NR,NA,0,0.01875,2.074135031,Low contamination,2
16225,2021,262,Male,DC,6.8,5.41,0.91,3.983,0,0,0,0.076,C,September,NR,NA,0,0.019081095,2.515466345,Low contamination,15
580,2007,136,Male,DC,6.07,5.17,0.097,2.771,0.13,0,0,0.053,NA,May,NR,NA,0,0.019126669,2.005233246,Low contamination,1
5448,2009,217,Male,DC,6.29,5.13,0.065,2.712,0.18,0,0,0.052,NA,August,NR,NA,0,0.019174041,2.008804117,Low contamination,3
1311,2008,150,Male,GC,7.32,5.91,0.094,4.767,0.28,0,0,0.093,NA,May,NR,NA,0,0.019509125,2.309312516,Low contamination,2
8053,2004,266,Male,LS,NA,6.97,NA,8.659,NA,NA,0,0.169,NA,September,NA,NA,0,0.019517265,2.557227731,Low contamination,-2
3858,2004,194,Male,FP,NA,6.31,NA,5.173,NA,NA,0,0.101,NA,July,NA,NA,0,0.019524454,2.058990774,Low contamination,-2
6554,2010,236,Male,FP,10.59,8.52,0.163,15.266,0.34,NA,0,0.304,NA,August,NR,NA,0,0.019913533,2.468348483,Low contamination,4
8434,2006,277,Male,LS,7.18,5.74,0.106,5.172,NA,0,0,0.103,NA,October,NA,NA,0,0.019914927,2.734782795,Low contamination,0
5719,2012,221,Male,P27,6.91,5.64,0.089,3.859,0.16,NA,0,0.077,NA,August,NR,NA,0,0.019953356,2.15098542,High contamination,6
206,2008,113,Male,LS,6.12,4.94,0.088,2.853,0.15,0,0,0.057,NA,NA,NR,NA,0,0.01997897,2.366578556,Low contamination,2
7662,2006,263,Male,GC,5.04,4.09,0.081,1.651,NA,0,0,0.033,NA,September,NA,NA,0,0.019987886,2.413110166,Low contamination,0
7293,2006,251,Male,P27,6.92,5.64,0.091,3.681,0.14,0,0,0.074,NA,September,NR,NA,0,0.020103233,2.051769197,High contamination,0
3869,2006,194,Male,GC,7.61,6.18,0.101,5.548,0.2,0,0,0.112,NA,July,NR,NA,0,0.020187455,2.350558299,Low contamination,0
2768,2004,176,Male,DC,NA,6.87,NA,9.104,NA,NA,0,0.185,NA,June,NA,NA,0,0.020320738,2.807773287,Low contamination,-2
4616,2004,204,Male,GC,NA,5.17,NA,2.625,NA,NA,0,0.054,NA,July,NA,NA,0,0.020571429,1.899580394,Low contamination,-2
770,2005,139,Male,DC,NA,8.2,NA,12.53,NA,0,0,0.26,NA,May,NA,NA,0,0.0207502,2.272529418,Low contamination,-1
3872,2006,194,Male,GC,6.2,5.06,0.085,3.172,0.18,0,0,0.066,NA,July,NR,NA,0,0.020807062,2.448395813,Low contamination,0
1967,2004,162,Male,GC,NA,6.55,NA,7.725,NA,NA,0,0.162,NA,June,NA,NA,0,0.020970874,2.74899904,Low contamination,-2
266,2008,113,Male,P27,7.36,6.12,0.114,4.889,0.19,0,0,0.103,NA,NA,NR,NA,0,0.021067703,2.132876803,High contamination,2
8542,2006,277,Male,FP,5.77,4.54,0.08,2.317,NA,0,0,0.049,NA,October,NA,NA,0,0.021148036,2.476044669,Low contamination,0
2614,2008,171,Male,SI,9.27,7.66,0.15,9.35,0.33,0,0,0.2,NA,June,NR,NA,0,0.021390374,2.080296805,High contamination,2
8225,2007,267,Female,P27,5.18,4.31,0.054,1.961,0.08,NA,0,0.042,NA,September,NR,NA,0,0.021417644,2.449321435,High contamination,1
14574,2019,199,Male,P27,6.13,5.25,0.75,3.911,0.25,0,0,0.084,B,July,NR,NA,0,0.021477883,2.702775078,High contamination,13
6041,2004,225,Male,FP,NA,5.72,NA,4.717,NA,NA,0,0.103,NA,August,NA,NA,0,0.021835913,2.520448279,Low contamination,-2
