Year,Month,Day,Julian_Date,Site ,Oxygen_mgmL,Temp_C,pH,Secchi_cm,Conductivity_us,TDS_ppm,Salinity_ppm
2004,5,27,148,DC,0.24,16.5,6.91,75,,,
2004,5,27,148,FP,4.76,15.5,6.2,100,,,
2004,5,27,148,GC,4.48,14,7.49,20,,,
2004,5,27,148,LS,4.31,15,6.91,100,,,
2004,6,11,163,DC,5.13,18.5,5.57,60,,,
2004,6,11,163,FP,4.84,18,6.86,,,,
2004,6,11,163,FP,4.84,17,6.86,,,,
2004,6,11,163,GC,5.32,,6.47,30,,,
2004,6,11,163,LS,5.84,22,5.39,100,,,
2004,6,25,207,DC,0.76,,5.85,100,,,
2004,6,25,207,FP,6.38,20.7,7.22,100,,,
2004,6,25,207,GC,6.38,18,9.82,25,,,
2004,6,25,207,GC,6.38,25,9.82,25,,,
2004,6,25,207,LS,8.56,17,7.34,100,,,
2004,7,9,191,DC,4.07,18,6.13,95,,,
2004,7,9,191,DC,4.07,18.5,6.13,95,,,
2004,7,9,191,FP,6.8,20,,100,,,
2004,7,9,191,FP,6.8,19.5,,100,,,
2004,7,9,191,GC,7.08,20.8,6.75,27,,,
2004,7,9,191,LS,6.3,21,,100,,,
2004,7,9,191,LS,6.3,20.5,,100,,,
2004,7,23,205,DC,0.22,22.5,6.69,100,,,
2004,7,23,205,FP,2.58,24,6.86,100,,,
2004,7,23,205,GC,0.28,26,6.75,20,,,
2004,7,23,205,LS,0.5,25,6.85,100,,,
2004,8,13,226,DC,0.2,21,6.87,90,,,
2004,8,13,226,DC,0.2,20.7,6.87,90,,,
2004,8,13,226,FP,0.3,21,7.49,,,,
2004,8,13,226,GC,0.38,22.5,6.89,35,,,
2004,8,13,226,LS,0.37,21,6.9,100,,,
2004,8,27,240,DC,0.96,22,6.8,100,,,
2004,8,27,240,FP,1.15,22,7.22,100,,,
2004,8,27,240,GC,0.94,26,7.39,25,,,
2004,8,27,240,LS,0.94,22,7.27,100,,,
2004,8,27,240,LS,0.94,22.5,7.27,100,,,
2004,9,10,254,DC,0.11,20.5,6.8,100,,,
2004,9,10,254,DC,0.11,22,6.8,100,,,
2004,9,10,254,FP,1.54,20,6.43,100,,,
2004,9,10,254,FP,1.54,19,6.43,100,,,
2004,9,10,254,GC,0.42,19,6.79,30,,,
2004,9,10,254,LS,0.93,21,,100,,,
2004,9,24,268,DC,0.1,23,6.88,100,,,
2004,9,24,268,DC,0.1,22,6.88,100,,,
2004,9,24,268,FP,0.11,21,7.48,,,,
2004,9,24,268,FP,0.11,21,7.48,,,,
2004,9,24,268,GC,0.13,21,6.98,55,,,
2004,9,24,268,LS,0.12,21,6.85,,,,
2004,9,24,268,LS,0.12,22,6.85,,,,
2004,10,8,282,DC,0.06,19,6.82,100,,,
2004,10,8,282,DC,0.06,18,6.82,100,,,
2004,10,8,282,FP,0.49,18,7.78,100,,,
2004,10,8,282,GC,0.34,16,6.12,40,,,
2004,10,8,282,LS,0.53,17,9.15,100,,,
2004,10,22,296,DC,0.12,11,6.82,,,,
2004,10,22,296,FP,0.41,12,6.93,100,,,
2004,10,22,296,FP,0.41,11,6.93,100,,,
2004,10,22,296,GC,0.37,10,6.84,50,,,
2004,10,22,296,LS,0.53,11,6.85,100,,,
2004,10,22,296,LS,0.53,12,6.85,100,,,
2005,4,27,117,DC,,12,,,,,
2005,4,27,117,DC,,9,,,,,
2005,4,27,117,FP,,9,,,,,
2005,4,27,117,GC,,8,,,,,
2005,4,27,117,GC,,9,,,,,
2005,4,27,117,LS,,9,,,,,
2005,4,27,117,LS,,8,,,,,
2005,5,11,131,DC,,15,,,,,
2005,5,11,131,DC,,17,,,,,
2005,5,11,131,FP,,13,,,,,
2005,5,11,131,GC,,18,,,,,
2005,5,11,131,LS,,16,,,,,
2005,5,11,131,LS,,15,,,,,
2005,5,19,139,DC,0.02,12.5,8.49,62,,,
2005,5,19,139,DC,0.02,12,8.49,62,,,
2005,5,19,139,FP,0.72,12,7.06,100,,,
2005,5,19,139,GC,0.61,13,8.76,20,,,
2005,5,19,139,LS,0.59,12.5,7.19,100,,,
2005,5,19,139,LS,0.59,13,7.19,100,,,
2005,5,26,146,DC,0.06,16,8.41,100,,,
2005,5,26,146,FP,0.31,14,8.54,100,,,
2005,5,26,146,GC,0.09,18,7.35,20,,,
2005,5,26,146,GC,0.09,15,7.35,20,,,
2005,5,26,146,LS,0.27,15.5,8.57,100,,,
2005,5,26,146,LS,0.27,16,8.57,100,,,
2005,6,1,152,DC,0.28,18.4,8.13,100,,,
2005,6,1,152,DC,0.22,19.5,8.27,110,,,
2005,6,8,159,DC,0.47,21,8.43,100,,,
2005,6,8,159,DC,0.47,22,8.43,100,,,
2005,6,8,159,FP,0.4,22,8.79,100,,,
2005,6,8,159,FP,0.4,21,8.79,100,,,
2005,6,8,159,GC,0.49,25,7.67,20,,,
2005,6,8,159,GC,0.49,22,7.67,20,,,
2005,6,8,159,LS,0.44,22,8.92,100,,,
2005,6,15,166,DC,0.34,20.5,8.2,100,,,
2005,6,15,166,DC,0.32,21.5,8.15,70,,,
2005,6,22,173,DC,0.24,,8.11,33,,,
2005,6,22,173,DC,0.7,18,8.1,,,,
2005,6,22,173,FP,0.27,19,8.53,100,,,
2005,6,22,173,FP,0.27,20,8.53,100,,,
2005,6,22,173,GC,0.27,21,8.3,21,,,
2005,6,22,173,LS,0.42,21,8.57,100,,,
2005,6,22,173,LS,0.42,20,8.57,100,,,
2005,6,29,180,DC,,21.5,,100,,,
2005,6,29,180,DC,,22,,100,,,
2005,6,29,180,GC,,,,20,,,
2005,6,29,180,LS,,,,100,,,
2005,7,6,187,DC,0.33,24,8.36,68,,,
2005,7,6,187,DC,0.33,23.5,8.36,68,,,
2005,7,6,187,FP,0.35,23,8.54,100,,,
2005,7,6,187,GC,0.46,24,8.34,38,,,
2005,7,6,187,LS,0.38,24.5,8.59,100,,,
2005,7,13,194,DC,0.38,27,8.78,100,,,
2005,7,13,194,DC,0.35,27,8.63,100,,,
2005,7,14,195,GC,0.33,28.7,8.42,24,,,
2005,7,14,195,LS,,29,9.09,100,,,
2005,7,20,201,DC,,25,8.53,100,,,
2005,7,20,201,DC,,26,8.53,100,,,
2005,7,20,201,FP,,27,9.11,100,,,
2005,7,20,201,GC,,28,8.35,20,,,
2005,7,20,201,GC,,25,8.35,20,,,
2005,7,20,201,LS,,26,8.84,100,,,
2005,7,20,201,LS,,28,8.84,100,,,
2005,7,21,202,DC,,27.1,8.93,85,,,
2005,7,21,202,FP,,27.5,9.52,100,,,
2005,7,21,202,GC,,29.5,8.67,32,,,
2005,7,21,202,LS,,28.1,9.15,100,,,
2005,7,27,208,DC,,23,7.96,100,,,
2005,7,27,208,DC,,23,8.08,55,,,
2005,7,27,208,FP,,25,8.74,100,,,
2005,7,27,208,GC,,24,7.9,15,,,
2005,7,27,208,LS,,25,8.19,100,,,
2005,7,30,211,GC,,24.6,8.37,,,,
2005,7,31,212,GC,,25.9,8.1,,,,
2005,8,3,215,DC,,27,8.58,100,,,
2005,8,3,215,DC,,26.5,8.58,100,,,
2005,8,3,215,FP,,27,9.33,100,,,
2005,8,3,215,GC,,32,8.29,25,,,
2005,8,3,215,LS,,28.5,8.69,100,,,
2005,8,3,215,LS,,28,8.69,100,,,
